lead_id,business_name,city,industry,website,email,phone,source_url,last_verified,verification,need_signal,software_problem,offer,priority,score,status,next_action,follow_up_date,estimated_value,notes
SL001,Siva Printers,Sivakasi,Printing and packaging,https://www.sivaprinters.com/,info@sivaprinters.com,+91 90475 40740,https://www.sivaprinters.com/,2026-07-11,Verified,Quote-led custom packaging workflow,Quote and job status coordination,Quotation plus production tracker,A,94,Not contacted,Review site and approve email,,25000,Strong Printing ERP proof match
SL002,Sivakasi Printers,Sivakasi,Printing and packaging,https://sivakasiprinters.com/,sivakasiprinters222@gmail.com,+91 98944 65222,https://sivakasiprinters.com/,2026-07-11,Verified,Many print product categories and enquiry form,Enquiry to job status visibility,Enquiry and order-status dashboard,A,92,Not contacted,Approve email draft,,20000,Public business contact on official site
SL003,Champion Litho Press,Sivakasi,Packaging and printing,https://www.championprinting.in/,info@championprinting.in,+91 93674 11642,https://www.championprinting.in/,2026-07-11,Verified,Custom packaging and high order volume,Quotation revisions and production visibility,Quote-to-production tracker,A,91,Not contacted,Approve email draft,,30000,Official contact verified
SL004,Venus Art Printers,Sivakasi,Book printing,https://www.venusartprinters.com/,,,https://www.venusartprinters.com/,2026-07-11,Needs manual verification,Bulk and print-on-demand services,Job scheduling and delivery status,Production schedule dashboard,A,89,Not contacted,Find official business email,,30000,Verify contact page manually
SL005,Joy Printers,Sivakasi,Printing,https://sivakasiprintingpress.com/,,+91 96553 67636,https://sivakasiprintingpress.com/,2026-07-11,Verified,Wide custom print catalogue,Quote follow-up and job tracking,Estimate and job-card tool,A,88,Not contacted,Approve call or email route,,18000,Phone shown on official site
SL006,Bell Printers,Sivakasi,Packaging,https://www.bellprinters.in/,,,https://www.bellprinters.in/about-us,2026-07-11,Needs manual verification,Large packaging operation,Client approval and production reporting,Approval and production dashboard,B,84,Not contacted,Find public business contact,,40000,Enterprise-sized target
SL007,Poornamala Process,Sivakasi,Packaging,https://www.poornamala.com/,,,https://www.poornamala.com/,2026-07-11,Needs manual verification,Folding carton manufacturing,Order stage and dispatch reporting,Order-stage dashboard,B,83,Not contacted,Verify contact page,,35000,Official website verified
SL008,Safire Printing,Sivakasi,Digital printing,https://safireprinting.com/,,,https://safireprinting.com/,2026-07-11,Needs manual verification,Digital and packaging services,Enquiry and repeat-order handling,Enquiry CRM plus quote generator,B,82,Not contacted,Verify contact page,,20000,Official website verified
SL009,Moorthy Offset Printers,Sivakasi,Corrugated packaging,https://moorthyoffset.com/,,,https://moorthyoffset.com/,2026-07-11,Needs manual verification,Corrugated box manufacturing,Size quote and production coordination,Box quotation calculator,B,86,Not contacted,Verify contact page,,25000,Calculator proof is relevant
SL010,S R Print Systems,Sivakasi,Printing,https://printsystems.in/,,,https://printsystems.in/,2026-07-11,Needs manual verification,Broad print product catalogue,Multi-product quote and order status,Quote and job tracking tool,B,81,Not contacted,Verify contact page,,20000,Official website verified
SL011,Tiruppur Exporters Association,Tiruppur,Textile association,https://www.tea-india.org/,ercadmin@tea-india.org,+91 88839 20500,https://www.tea-india.org/,2026-07-11,Verified,Large exporter membership network,Member enquiry and referral routing,Referral request for exporter workflow pilots,A,90,Not contacted,Prepare association introduction,,15000,Warm ecosystem route rather than direct software pitch
SL012,Texcity Apparels,Tiruppur,Textile export,https://www.tea-india.org/,,,https://www.tea-india.org/,2026-07-11,Needs manual verification,Listed active exporter,Buyer order and sampling visibility,Buyer order dashboard,B,78,Not contacted,Locate official company contact,,35000,Company listed by TEA
SL013,Radiyant Knit Fashion,Tiruppur,Textile export,https://www.tea-india.org/,,,https://www.tea-india.org/,2026-07-11,Needs manual verification,Listed active exporter,Style and dispatch follow-up,Production follow-up dashboard,B,78,Not contacted,Locate official company contact,,35000,Company listed by TEA
SL014,Kaico Impex,Tiruppur,Textile export,https://www.tea-india.org/,,,https://www.tea-india.org/,2026-07-11,Needs manual verification,Established exporter,Order document and dispatch coordination,Order document tracker,B,76,Not contacted,Locate official company contact,,30000,Company listed by TEA
SL015,Sri Hari Knitters,Tiruppur,Textile manufacturing,https://www.tea-india.org/,,,https://www.tea-india.org/,2026-07-11,Needs manual verification,Knitwear production,Production and inventory visibility,Production dashboard,B,77,Not contacted,Locate official company contact,,30000,Company listed by TEA
SL016,Canty Garments,Tiruppur,Garment manufacturing,https://www.tea-india.org/,,,https://www.tea-india.org/,2026-07-11,Needs manual verification,Long-running garment operation,Sample-to-dispatch coordination,Order stage dashboard,B,76,Not contacted,Locate official company contact,,30000,Company listed by TEA
SL017,Aahana International LLP,Tiruppur,Textile export,https://www.tea-india.org/,,,https://www.tea-india.org/,2026-07-11,Needs manual verification,Exporter listing,Buyer and order follow-up,Lightweight export CRM,B,75,Not contacted,Locate official company contact,,25000,Company listed by TEA
SL018,Prospper Exports,Tiruppur,Textile export,https://www.tea-india.org/,,,https://www.tea-india.org/,2026-07-11,Needs manual verification,Manufacturer and exporter,Enquiry to dispatch tracking,Export order tracker,B,77,Not contacted,Locate official company contact,,30000,Company listed by TEA
SL019,Sunbright Designers Pvt Ltd,Tiruppur,Textile design,https://www.tea-india.org/,,,https://www.tea-india.org/,2026-07-11,Needs manual verification,Design and garment product range,Design approval and job status,Approval workflow dashboard,B,78,Not contacted,Locate official company contact,,25000,Company listed by TEA
